SentID_GM,targ,Sentence_with_Target,Sentence_with_Blank,SimilarTo_SentID_GM,sentence_length,targ_sent_position
227,intrepid,"Warren wanted to prove he was [intrepid], so he went sky-diving.","Warren wanted to prove he was XXXXX, so he went sky-diving.",2836,NA,NA
228,intrepid,To reach your dreams sometimes you need to be [intrepid].,To reach your dreams sometimes you need to be XXXXX.,NA,NA,NA
229,intrepid,"To enter a burning house, a firefighter must be very [intrepid].","To enter a burning house, a firefighter must be very XXXXX.",NA,NA,NA
230,intrepid,"To be a lion tamer, you must be [intrepid], not timid and fearful.","To be a lion tamer, you must be XXXXX, not timid and fearful.",NA,NA,NA
231,intrepid,Ken was so [intrepid] that he stood up to the big bully.,Ken was so XXXXX that he stood up to the big bully.,2835,NA,NA
232,intrepid,"Even though he was scared, the soldier tried to appear [intrepid].","Even though he was scared, the soldier tried to appear XXXXX.",NA,NA,NA
233,intrepid,A journalist who risks everything to cover a war is considered [intrepid].,A journalist who risks everything to cover a war is considered XXXXX.,NA,NA,NA
234,intrepid,Policemen must be [intrepid] to fight crime every day.,Policemen must be XXXXX to fight crime every day.,2294,NA,NA
235,lithe,Karen expected some of her friends to be more [lithe] than they were.,Karen expected some of her friends to be more XXXXX than they were.,2417,NA,NA
236,lithe,Tina has become much more [lithe] over the summer.,Tina has become much more XXXXX over the summer.,2418,NA,NA
237,lithe,The ones that get chosen are the ones that are the most [lithe].,The ones that get chosen are the ones that are the most XXXXX.,NA,NA,NA
238,lithe,Amy was much more [lithe] last year than she is this year.,Amy was much more XXXXX last year than she is this year.,2420,NA,NA
239,lithe,We don't know how to determine which one is more [lithe].,We don't know how to determine which one is more XXXXX.,3200,NA,NA
240,lithe,I wasn't aware that Rachel was becoming more [lithe].,I wasn't aware that Rachel was becoming more XXXXX.,NA,NA,NA
241,lithe,Our coach makes us warm up to make us more [lithe].,Our coach makes us warm up to make us more XXXXX.,2412,NA,NA
242,lithe,The new kid was a teenager who was very [lithe] and motivated to win.,The new kid was a teenager who was very XXXXX and motivated to win.,NA,NA,NA
243,lithe,Annie won the contest because she was extremely [lithe].,Annie won the contest because she was extremely XXXXX.,2933,NA,NA
244,lithe,"He enjoyed watching the dancers, who were all very [lithe].","He enjoyed watching the dancers, who were all very XXXXX.",NA,NA,NA
245,lithe,"When I saw him next, he was no longer [lithe] and looked his age.","When I saw him next, he was no longer XXXXX and looked his age.",NA,NA,NA
246,lithe,The tall black stallion was [lithe] and looked ready for the race.,The tall black stallion was XXXXX and looked ready for the race.,NA,NA,NA
247,lithe,A gymnast needs to stretch often to become more [lithe].,A gymnast needs to stretch often to become more XXXXX.,2411,NA,NA
248,lithe,The athlete did the splits to prove that he was [lithe].,The athlete did the splits to prove that he was XXXXX.,2413,NA,NA
249,lithe,She can wrap her leg around her head because she is very [lithe].,She can wrap her leg around her head because she is very XXXXX.,NA,NA,NA
250,lithe,He cannot touch his toes because he is not very [lithe].,He cannot touch his toes because he is not very XXXXX.,NA,NA,NA
251,lithe,Mary can do a back-bend because she exercises to stay [lithe].,Mary can do a back-bend because she exercises to stay XXXXX.,NA,NA,NA
252,lithe,The dancer kept her body [lithe] and lean from daily stretching.,The dancer kept her body XXXXX and lean from daily stretching.,NA,NA,NA
253,nefarious,The girl in the corner had a [nefarious] look on her face.,The girl in the corner had a(n) XXXXX look on her face.,2324,NA,NA
254,nefarious,It is hard to believe that you have never met a [nefarious] person.,It is hard to believe that you have never met a(n) XXXXX person.,2325,NA,NA
255,nefarious,My friend gave me a [nefarious] look from across the street.,My friend gave me a(n) XXXXX look from across the street.,2326,NA,NA
256,nefarious,It's unusual to find so many people who are [nefarious].,It's unusual to find so many people who are XXXXX.,3193,NA,NA
257,nefarious,"I have never personally met her, though everyone describes her as [nefarious].","I have never personally met her, though everyone describes her as XXXXX.",NA,NA,NA
258,nefarious,That was the first time that I saw the picture of the [nefarious] man.,That was the first time that I saw the picture of the XXXXX man.,NA,NA,NA
259,nefarious,"In my dream he had horns on his head, so I thought he was [nefarious].","In my dream he had horns on his head, so I thought he was XXXXX.",2866,NA,NA
260,nefarious,"Susie was not well liked, and some people called her [nefarious].","Susie was not well liked, and some people called her XXXXX.",NA,NA,NA
261,nefarious,Sometimes people do [nefarious] things without meaning to hurt people.,Sometimes people do XXXXX things without meaning to hurt people.,2868,NA,NA
262,nefarious,Jake wrote a story about a [nefarious] monster who lived in his closet.,Jake wrote a story about a(n) XXXXX monster who lived in his closet.,2315,NA,NA
263,nefarious,The fire was started by a [nefarious] group of criminals.,The fire was started by a(n) XXXXX group of criminals.,NA,NA,NA
264,nefarious,Harry spent his life in prison because of his [nefarious] crimes.,Harry spent his life in prison because of his XXXXX crimes.,NA,NA,NA
265,nefarious,The robber spent a lot of time perfecting his [nefarious] plan.,The robber spent a lot of time perfecting his XXXXX plan.,NA,NA,NA
266,nefarious,Snow White had a stepmother who was jealous and [nefarious].,Snow White had a stepmother who was jealous and XXXXX.,NA,NA,NA
267,nefarious,"The villain wanted to rule the world, so he devised a [nefarious] plan.","The villain wanted to rule the world, so he devised a(n) XXXXX plan.",NA,NA,NA
268,nefarious,"In fairytales, heroes often dress in white, whereas [nefarious] characters dress in black.","In fairytales, heroes often dress in white, whereas XXXXX characters dress in black.",NA,NA,NA
269,nefarious,The witch threatened to eat the children because she was [nefarious].,The witch threatened to eat the children because she was XXXXX.,NA,NA,NA
270,nefarious,"Clowns are supposed to be cute and funny, not scary and [nefarious].","Clowns are supposed to be cute and funny, not scary and XXXXX.",NA,NA,NA
271,noisome,The boy sitting next to me on the bus was [noisome].,The boy sitting next to me on the bus was XXXXX.,2952,NA,NA
272,noisome,The new kid was one of the most [noisome] people I've ever met.,The new kid was one of the most XXXXX people I've ever met.,NA,NA,NA
273,noisome,We looked everywhere but we couldn't find the [noisome] one.,We looked everywhere but we couldn't find the XXXXX one.,NA,NA,NA
274,noisome,After we made the purchase we found out that one of them was [noisome].,After we made the purchase we found out that one of them was XXXXX.,NA,NA,NA
275,noisome,I tried to persuade Jim that it was no longer [noisome].,I tried to persuade Jim that it was no longer XXXXX.,3202,NA,NA
276,noisome,There are a few ways to tell whether or not it's [noisome].,There are a few ways to tell whether or not it's XXXXX.,3203,NA,NA
277,noisome,"When we opened the bag, the we caught a whiff of something [noisome].","When we opened the bag, the we caught a whiff of something XXXXX.",NA,NA,NA
278,noisome,"After practice, John's basketball uniform was thoroughly [noisome].","After practice, John's basketball uniform was thoroughly XXXXX.",NA,NA,NA
279,noisome,I didn't want to ride in Josh's car anymore because it was [noisome].,I didn't want to ride in Josh's car anymore because it was XXXXX.,NA,NA,NA
280,noisome,"When John got back, he detected something [noisome] in the air.","When John got back, he detected something XXXXX in the air.",NA,NA,NA
281,noisome,The blanket that is draped over the couch is old and [noisome].,The blanket that is draped over the couch is old and XXXXX.,NA,NA,NA
282,noisome,"Sarah thought her new perfume smelled great, but I thought it was [noisome].","Sarah thought her new perfume smelled great, but I thought it was XXXXX.",NA,NA,NA
283,noisome,Tina gave her dog a bath so that he smelled less [noisome].,Tina gave her dog a bath so that he smelled less XXXXX.,NA,NA,NA
284,noisome,She had to plug her nose because her brother's feet were so [noisome].,She had to plug her nose because her brother's feet were so XXXXX.,NA,NA,NA
285,noisome,We knew when to change the diaper because of the [noisome] smell.,We knew when to change the diaper because of the XXXXX smell.,NA,NA,NA
286,noisome,"After the sewer exploded, the street was filled with a [noisome] stench.","After the sewer exploded, the street was filled with a(n) XXXXX stench.",NA,NA,NA
287,noisome,We pinched our nose because the sewer was so [noisome].,We pinched our nose because the sewer was so XXXXX.,NA,NA,NA
288,noisome,When we opened the garbage lid the smell was so [noisome] I almost fainted.,When we opened the garbage lid the smell was so XXXXX I almost fainted.,NA,NA,NA
289,noxious,Our group talked for a long time about whether the activity was [noxious].,Our group talked for a long time about whether the activity was XXXXX.,2477,NA,NA
290,noxious,I think we were the only ones who heard the [noxious] remarks about the girl.,I think we were the only ones who heard the XXXXX remarks about the girl.,2479,NA,NA
291,noxious,We had no idea whether the material was [noxious] or not.,We had no idea whether the material was XXXXX or not.,2481,NA,NA
292,noxious,Sometimes you need some experience to tell if something is [noxious].,Sometimes you need some experience to tell if something is XXXXX.,NA,NA,NA
293,noxious,"Before we left, we looked around for anything that could be [noxious].","Before we left, we looked around for anything that could be XXXXX.",NA,NA,NA
294,noxious,We will have to wait and see whether Toby's idea is [noxious].,We will have to wait and see whether Toby's idea is XXXXX.,NA,NA,NA
295,noxious,The doctor decided that it would be best to remove the [noxious] tumor.,The doctor decided that it would be best to remove the XXXXX tumor.,NA,NA,NA
296,noxious,"Although we rejected the plan, we didn't think it was completely [noxious].","Although we rejected the plan, we didn't think it was completely XXXXX.",NA,NA,NA
297,noxious,"When people don't think before they tweet, their comments can be [noxious].","When people don't think before they tweet, their comments can be XXXXX.",NA,NA,NA
298,noxious,We thought that the unfamiliar plant could be a [noxious] weed.,We thought that the unfamiliar plant could be a(n) XXXXX weed.,NA,NA,NA
299,noxious,Ellen hid the bottle so the kids would not find the [noxious] substance.,Ellen hid the bottle so the kids would not find the XXXXX substance.,NA,NA,NA
300,noxious,"When you combine certain substances, the result is [noxious].","When you combine certain substances, the result is XXXXX.",NA,NA,NA
301,noxious,It is dangerous to breathe the [noxious] fumes from idling cars.,It is dangerous to breathe the XXXXX fumes from idling cars.,NA,NA,NA
302,noxious,"Joe a severe allergy to peanuts, so they were [noxious] for him to eat.","Joe a severe allergy to peanuts, so they were XXXXX for him to eat.",NA,NA,NA
303,noxious,You can die if you drink bleach because it is highly [noxious].,You can die if you drink bleach because it is highly XXXXX.,NA,NA,NA
304,noxious,"Lilies are not harmful to humans, but they are [noxious] to cats.","Lilies are not harmful to humans, but they are XXXXX to cats.",2981,NA,NA
305,noxious,Second-hand smoke from cigarettes is [noxious] and can cause cancer.,Second-hand smoke from cigarettes is XXXXX and can cause cancer.,NA,NA,NA
306,noxious,Some reptiles are brightly colored to warn other animals that they are [noxious].,Some reptiles are brightly colored to warn other animals that they are XXXXX.,NA,NA,NA
307,ornery,The man who worked at the store on the corner was usually [ornery].,The man who worked at the store on the corner was usually XXXXX.,3627,NA,NA
308,ornery,I spent a lot of time thinking about his [ornery] comments.,I spent a lot of time thinking about his XXXXX comments.,NA,NA,NA
309,ornery,"If you want to succeed in the modern world, you must be [ornery].","If you want to succeed in the modern world, you must be XXXXX.",2849,NA,NA
310,ornery,The people who ran the company were said to be [ornery].,The people who ran the company were said to be XXXXX.,NA,NA,NA
311,ornery,After the meeting we were convinced that he is no longer [ornery].,After the meeting we were convinced that he is no longer XXXXX.,NA,NA,NA
312,ornery,"I did not recognize the person in the photograph, but she looked [ornery].","I did not recognize the person in the photograph, but she looked XXXXX.",NA,NA,NA
313,ornery,"When I tried to pet the little dog, he became [ornery].","When I tried to pet the little dog, he became XXXXX.",NA,NA,NA
314,ornery,"Throughout the game, the fighter had an [ornery] expression.","Throughout the game, the fighter had a(n) XXXXX expression.",NA,NA,NA
315,ornery,"When the mama cat felt threatened, she became [ornery].","When the mama cat felt threatened, she became XXXXX.",NA,NA,NA
316,ornery,"When Emily was critiqued, she could become quite [ornery].","When Emily was critiqued, she could become quite XXXXX.",NA,NA,NA
317,ornery,I hid the broken glass because I knew Greg could be [ornery].,I hid the broken glass because I knew Greg could be XXXXX.,NA,NA,NA
318,ornery,I wanted to know how a nice person like Tricia had become so [ornery].,I wanted to know how a nice person like Tricia had become so XXXXX.,NA,NA,NA
319,ornery,"Lisa was sweet and kind, but her sister was mean and [ornery].","Lisa was sweet and kind, but her sister was mean and XXXXX.",2852,NA,NA
320,ornery,The bully picks on smaller kids and is [ornery] even at home.,The bully picks on smaller kids and is XXXXX even at home.,NA,NA,NA
321,ornery,"Before the dog attacked, he let out an [ornery] growl.","Before the dog attacked, he let out a(n) XXXXX growl.",NA,NA,NA
322,ornery,Baby leopards look cuddly but they grow up to be [ornery] predators.,Baby leopards look cuddly but they grow up to be XXXXX predators.,3280,NA,NA
323,ornery,In the business world people can be surprisingly mean and even [ornery].,In the business world people can be surprisingly mean and even XXXXX.,3284,NA,NA
324,ornery,In the heat of battle a normally nice person can turn [ornery].,In the heat of battle a normally nice person can turn XXXXX.,3282,NA,NA
325,serenity,Lisa was a perfect example of someone with [serenity].,Lisa was a perfect example of someone with XXXXX.,NA,NA,NA
326,serenity,When we arrived at his house he wore a look of [serenity].,When we arrived at his house he wore a look of XXXXX.,NA,NA,NA
327,serenity,Jim started to experience more [serenity] as he grew older.,Jim started to experience more XXXXX as he grew older.,NA,NA,NA
328,serenity,Sometimes it is harder to find [serenity] than at other times.,Sometimes it is harder to find XXXXX than at other times.,2268,NA,NA
329,serenity,I have thought about what it would be like to have some [serenity].,I have thought about what it would be like to have some XXXXX.,NA,NA,NA
330,serenity,My friend and I decided to spend the weekend writing about [serenity].,My friend and I decided to spend the weekend writing about XXXXX.,NA,NA,NA
331,serenity,"Anne was tired, so she was glad to finally have some [serenity].","Anne was tired, so she was glad to finally have some XXXXX.",NA,NA,NA
332,serenity,It has not been proven that the color blue brings about [serenity].,It has not been proven that the color blue brings about XXXXX.,NA,NA,NA
333,serenity,"John was unhappy when he arrived, but he left with a feeling of [serenity].","John was unhappy when he arrived, but he left with a feeling of XXXXX.",NA,NA,NA
334,serenity,"After my Dad gave me a hug, I experienced greater [serenity].","After my Dad gave me a hug, I experienced greater XXXXX.",NA,NA,NA
335,serenity,The beauty of nature can bring about a feeling of [serenity].,The beauty of nature can bring about a feeling of XXXXX.,NA,NA,NA
336,serenity,An experienced counselor can help someone regain some [serenity] after a crisis.,An experienced counselor can help someone regain some XXXXX after a crisis.,NA,NA,NA
337,serenity,They left the noisy city to enjoy some [serenity] and quiet.,They left the noisy city to enjoy some XXXXX and quiet.,2259,NA,NA
338,serenity,It's easier to experience some [serenity] when you relax in a quiet place.,It's easier to experience some XXXXX when you relax in a quiet place.,2261,NA,NA
339,serenity,"A warm, soft breeze and some quiet music helps me experience some [serenity].","A warm, soft breeze and some quiet music helps me experience some XXXXX.",2265,NA,NA
340,serenity,"Yoga makes gives me a sense of [serenity], which helps me relax.","Yoga makes gives me a sense of XXXXX, which helps me relax.",2821,NA,NA
341,serenity,"After I sit and meditate, I am filled with a sense of [serenity].","After I sit and meditate, I am filled with a sense of XXXXX.",2260,NA,NA
342,serenity,"What the world needs now is [serenity], rather than endless war.","What the world needs now is XXXXX, rather than endless war.",NA,NA,NA
343,sheen,"I do not like artifacts with a lot of [sheen], but some people do.","I do not like artifacts with a lot of XXXXX, but some people do.",2277,NA,NA
344,sheen,Jessie gave away all the ones with a lot of [sheen].,Jessie gave away all the ones with a lot of XXXXX.,2278,NA,NA
345,sheen,John asked me to hand him the one with the most [sheen].,John asked me to hand him the one with the most XXXXX.,2279,NA,NA
346,sheen,My mom asked her to pick the one with the most [sheen].,My mom asked her to pick the one with the most XXXXX.,2280,NA,NA
347,sheen,The object we discovered did not have a lot of [sheen].,The object we discovered did not have a lot of XXXXX.,2276,NA,NA
348,sheen,After searching through everything we finally found the one with some [sheen].,After searching through everything we finally found the one with some XXXXX.,NA,NA,NA
349,sheen,I like jewelry that looks new and has a nice [sheen].,I like jewelry that looks new and has a nice XXXXX.,NA,NA,NA
350,sheen,The advertisement said that the lotion would give your face a nice [sheen].,The advertisement said that the lotion would give your face a nice XXXXX.,NA,NA,NA
351,sheen,"After the floor was redone, it had a pleasant [sheen].","After the floor was redone, it had a pleasant XXXXX.",NA,NA,NA
352,sheen,"Classic candy is colorful and pretty, and has some [sheen].","Classic candy is colorful and pretty, and has some XXXXX.",NA,NA,NA
353,sheen,Polly thought that her ring had just the right amount of [sheen].,Polly thought that her ring had just the right amount of XXXXX.,NA,NA,NA
354,sheen,The hair stylist combed some product into my hair to give it some [sheen].,The hair stylist combed some product into my hair to give it some XXXXX.,NA,NA,NA
355,sheen,His car needed new paint to bring back its original [sheen].,His car needed new paint to bring back its original XXXXX.,2271,NA,NA
356,sheen,We polished the vase until it had a lovely [sheen].,We polished the vase until it had a lovely XXXXX.,2274,NA,NA
357,sheen,The diamond had a lot of sparkle and [sheen] in the morning light.,The diamond had a lot of sparkle and XXXXX in the morning light.,2275,NA,NA
358,sheen,"Even though the dusty glass, we saw that the trophy had a bright [sheen].","Even though the dusty glass, we saw that the trophy had a bright XXXXX.",NA,NA,NA
359,sheen,"Becky polished the silver every day, so it would keep its [sheen].","Becky polished the silver every day, so it would keep its XXXXX.",NA,NA,NA
360,sheen,"After we removed the tarnish from the plate, it had a beautiful [sheen].","After we removed the tarnish from the plate, it had a beautiful XXXXX.",NA,NA,NA
361,disconcert,I was surprised that they found my friend to be so [disconcerting].,I was surprised that they found my friend to be so XXXXX.,NA,NA,NA
362,disconcert,"After thinking about it, Carl decide that the plan would be [disconcerting].","After thinking about it, Carl decide that the plan would be XXXXX.",NA,NA,NA
363,disconcert,He can't really imagine what it would be like to be [disconcerted].,He can't really imagine what it would be like to be XXXXX.,NA,NA,NA
364,disconcert,"Lucy will never admit it, but she finds them [disconcerting].","Lucy will never admit it, but she finds them XXXXX.",NA,NA,NA
365,disconcert,"After class, the instructor decided she would be hard to [disconcert].","After class, the instructor decided she would be hard to XXXXX.",NA,NA,NA
366,disconcert,Mark kept the idea to himself because he didn't want to [disconcert] everyone.,Mark kept the idea to himself because he didn't want to XXXXX everyone.,NA,NA,NA
367,disconcert,"Matt was at ease with friends, but strangers often [disconcerted] him.","Matt was at ease with friends, but strangers often XXXXX him.",NA,NA,NA
368,disconcert,Singing or dancing in a crowd is [disconcerting] for some people.,Singing or dancing in a crowd is XXXXX for some people.,NA,NA,NA
369,disconcert,"When John finally raised the issue, people were clearly [disconcerted].","When John finally raised the issue, people were clearly XXXXX.",NA,NA,NA
370,disconcert,"Dory wasn't afraid of snakes, but she was [disconcerted] by their appearance.","Dory wasn't afraid of snakes, but she was XXXXX by their appearance.",NA,NA,NA
371,disconcert,"When Joey showed the scar, Ben appeared to be [disconcerted].","When Joey showed the scar, Ben appeared to be XXXXX.",NA,NA,NA
372,disconcert,The film critic found the movie [disconcerting] and hard to follow.,The film critic found the movie XXXXX and hard to follow.,NA,NA,NA
373,disconcert,The shy girl was trembling and was clearly [disconcerted] by the question.,The shy girl was trembling and was clearly XXXXX by the question.,NA,NA,NA
374,disconcert,Sarah couldn't sleep because her problem was so [disconcerting].,Sarah couldn't sleep because her problem was so XXXXX.,NA,NA,NA
375,disconcert,"Emily was comfortable around dogs, but cats really [disconcerted] her.","Emily was comfortable around dogs, but cats really XXXXX her.",NA,NA,NA
376,disconcert,"Michael's behavior was increasingly odd, which [disconcerted] his friends and family.","Michael's behavior was increasingly odd, which XXXXX his friends and family.",NA,NA,NA
377,disconcert,The stranger was so quiet and odd that everyone felt a little [disconcerted].,The stranger was so quiet and odd that everyone felt a little XXXXX.,NA,NA,NA
378,disconcert,The details of the crime were so [disconcerting] that we didn't know what to say.,The details of the crime were so XXXXX that we didn't know what to say.,NA,NA,NA
379,discord,Because Kim was so focused she was totally unaware of the [discord].,Because Kim was so focused she was totally unaware of the XXXXX.,3361,NA,NA
380,discord,Rhonda discovered that there was a lot less [discord] than before.,Rhonda discovered that there was a lot less XXXXX than before.,3360,NA,NA
381,discord,Some people claim they have never witnessed any [discord].,Some people claim they have never witnessed any XXXXX.,NA,NA,NA
382,discord,The friends agreed that they would stay until after the [discord].,The friends agreed that they would stay until after the XXXXX.,NA,NA,NA
383,discord,The issue is complex because are many causes and effects of [discord].,The issue is complex because are many causes and effects of XXXXX.,3362,NA,NA
384,discord,We had an unspoken agreement that we would not talk about the [discord].,We had an unspoken agreement that we would not talk about the XXXXX.,NA,NA,NA
385,discord,"Even when life is good, there are always periods of [discord].","Even when life is good, there are always periods of XXXXX.",NA,NA,NA
386,discord,Poverty and injustice are major sources of [discord] in the world.,Poverty and injustice are major sources of XXXXX in the world.,3352,NA,NA
387,discord,"In their quest for success, the siblings fell into constant [discord].","In their quest for success, the siblings fell into constant XXXXX.",NA,NA,NA
388,discord,"Instead of passing laws, politicians seem to engage in constant [discord].","Instead of passing laws, politicians seem to engage in constant XXXXX.",NA,NA,NA
389,discord,Some people think an ideal family is one without [discord].,Some people think an ideal family is one without XXXXX.,NA,NA,NA
390,discord,In adolescence young people often experience a lot of [discord].,In adolescence young people often experience a lot of XXXXX.,NA,NA,NA
391,discord,The rebels caused chaos and did their best to stir up civil [discord].,The rebels caused chaos and did their best to stir up civil XXXXX.,3347,NA,NA
392,discord,The mayor got worried when peaceful protests turned to angry [discord].,The mayor got worried when peaceful protests turned to angry XXXXX.,NA,NA,NA
393,discord,Fear and hatred are dangerous because they cause [discord] among people.,Fear and hatred are dangerous because they cause XXXXX among people.,3350,NA,NA
394,discord,After the war ended they promised peace would replace the constant [discord].,After the war ended they promised peace would replace the constant XXXXX.,3351,NA,NA
395,discord,"If peace and harmony go together, then so do war and [discord].","If peace and harmony go together, then so do war and XXXXX.",3355,NA,NA
396,discord,Disagreements can either be resolved peacefully or lead to constant [discord].,Disagreements can either be resolved peacefully or lead to constant XXXXX.,NA,NA,NA
397,dolor,"Billy sat down, picked up a pen, and began to write about his [dolor].","Billy sat down, picked up a pen, and began to write about his XXXXX.",NA,NA,NA
398,dolor,"Before the term started, none of us knew about her [dolor].","Before the term started, none of us knew about her XXXXX.",NA,NA,NA
399,dolor,"Yesterday, Sheila remembered to talk about the importance of [dolor].","Yesterday, Sheila remembered to talk about the importance of XXXXX.",NA,NA,NA
400,dolor,Todd held his cup of tea while he sat and thought about [dolor].,Todd held his cup of tea while he sat and thought about XXXXX.,NA,NA,NA
401,dolor,"Tomorrow, we will be reading a book about [dolor] in class.","Tomorrow, we will be reading a book about XXXXX in class.",NA,NA,NA
402,dolor,She said her parents couldn't decide if they wanted the [dolor] to continue.,She said her parents couldn't decide if they wanted the XXXXX to continue.,1381,NA,NA
403,dolor,Prisoners of war often suffer from hunger and [dolor].,Prisoners of war often suffer from hunger and XXXXX.,NA,NA,NA
404,dolor,"The music at the funeral was sad, sweet, and full of [dolor].","The music at the funeral was sad, sweet, and full of XXXXX.",NA,NA,NA
405,dolor,"The old man was alone, with the rain and his own [dolor].","The old man was alone, with the rain and his own XXXXX.",NA,NA,NA
406,dolor,"The weather continued, and we were overcome with [dolor].","The weather continued, and we were overcome with XXXXX.",NA,NA,NA
407,dolor,Mary had never experienced such a strong sense of [dolor].,Mary had never experienced such a strong sense of XXXXX.,NA,NA,NA
408,dolor,"When we saw the room, he was overcome with [dolor].","When we saw the room, he was overcome with XXXXX.",NA,NA,NA
409,dolor,Sadness that never seems to go away is known as [dolor].,Sadness that never seems to go away is known as XXXXX.,NA,NA,NA
410,dolor,The poem is saying that happiness and [dolor] are both part of life.,The poem is saying that happiness and XXXXX are both part of life.,NA,NA,NA
411,dolor,"The story conveyed a sense of loss, regret, and [dolor].","The story conveyed a sense of loss, regret, and XXXXX.",NA,NA,NA
412,dolor,"When people lose a loved one, they often experience [dolor].","When people lose a loved one, they often experience XXXXX.",NA,NA,NA
413,dolor,The pictures of his childhood filled him with [dolor] and regret.,The pictures of his childhood filled him with XXXXX and regret.,NA,NA,NA
414,dolor,"When his owner failed to return, the old dog experienced much [dolor].","When his owner failed to return, the old dog experienced much XXXXX.",NA,NA,NA
415,grouse,Kevin's mom says he [grouses] more often than his older sister.,Kevin's mom says he XXXXX more often than his older sister.,2578,NA,NA
416,grouse,As soon as we had gotten started they decided to [grouse].,As soon as we had gotten started they decided to XXXXX.,3210,NA,NA
417,grouse,At this time of the year we expect a lot of them to [grouse].,At this time of the year we expect a lot of them to XXXXX.,3209,NA,NA
418,grouse,Marsha pointed out that it was unusual for them to [grouse].,Marsha pointed out that it was unusual for them to XXXXX.,3208,NA,NA
419,grouse,In some situations the worst think you can do is to [grouse].,In some situations the worst think you can do is to XXXXX.,NA,NA,NA
420,grouse,Everyone knew Peter because he was the one who [grouses] the most.,Everyone knew Peter because he was the one who XXXXX the most.,NA,NA,NA
421,grouse,"Even though the spoiled girl had everything, she still [groused].","Even though the spoiled girl had everything, she still XXXXX.",3063,NA,NA
422,grouse,"When they don't get what they want, some people [grouse].","When they don't get what they want, some people XXXXX.",1694,NA,NA
424,grouse,Leslie is a good student and is not one to [grouse].,Leslie is a good student and is not one to XXXXX.,NA,NA,NA
425,grouse,Dana had a bad reputation of [grousing] among her friends.,Dana had a bad reputation of XXXXX among her friends.,2575,NA,NA
426,grouse,The students get together after school and [groused] about their lives.,The students get together after school and XXXXX about their lives.,NA,NA,NA
427,grouse,Rory didn't like what was for dinner and wouldn't stop [grousing] about it.,Rory didn't like what was for dinner and wouldn't stop XXXXX about it.,NA,NA,NA
428,grouse,"When students find their homework challenging, they often [groused] about it.","When students find their homework challenging, they often XXXXX about it.",1099,NA,NA
429,grouse,Laura hated dresses and [groused] when her mother asked her to wear one.,Laura hated dresses and XXXXX when her mother asked her to wear one.,NA,NA,NA
430,grouse,"The kids didn't think their punishment was fair, so they [groused] and sulked.","The kids didn't think their punishment was fair, so they XXXXX and sulked.",NA,NA,NA
431,grouse,Amy's parents refused to respond when she started to [grouse].,Amy's parents refused to respond when she started to XXXXX.,NA,NA,NA
432,grouse,"When they were asked to clean up, they started to [grouse].","When they were asked to clean up, they started to XXXXX.",NA,NA,NA
433,malign,Bill decided that it would not make any sense to [malign] her.,Bill decided that it would not make any sense to XXXXX her.,NA,NA,NA
434,malign,George believed that he knew the person who had [maligned] him.,George believed that he knew the person who had XXXXX him.,NA,NA,NA
435,malign,Jim decided that it would be necessary to [malign] his friend.,Jim decided that it would be necessary to XXXXX his friend.,3605,NA,NA
436,malign,Jim never saw the girl again after he saw her friends [malign] her.,Jim never saw the girl again after he saw her friends XXXXX her.,3603,NA,NA
437,malign,Joe tried everything he could think of but he was unable to [malign] her.,Joe tried everything he could think of but he was unable to XXXXX her.,NA,NA,NA
438,malign,Karen was not interested in trying to [malign] someone she had just met.,Karen was not interested in trying to XXXXX someone she had just met.,3233,NA,NA
439,malign,Helen spread the story about her friend in order to [malign] her.,Helen spread the story about her friend in order to XXXXX her.,3589,NA,NA
440,malign,Julia leaked the story to the press in order to [malign] him.,Julia leaked the story to the press in order to XXXXX him.,3590,NA,NA
441,malign,The two men were competitive and were constantly trying to [malign] one another.,The two men were competitive and were constantly trying to XXXXX one another.,NA,NA,NA
442,malign,Linda called him out for his bad choices in order to [malign] him.,Linda called him out for his bad choices in order to XXXXX him.,3592,NA,NA
443,malign,"Instead of focusing on issues, politicians use negative ads to [malign] their rivals.","Instead of focusing on issues, politicians use negative ads to XXXXX their rivals.",3594,NA,NA
444,malign,Sometimes the media spreads gossip to [malign] people.,Sometimes the media spreads gossip to XXXXX people.,NA,NA,NA
445,malign,The opposition spread nasty rumors in order to [malign] the President.,The opposition spread nasty rumors in order to XXXXX the President.,NA,NA,NA
446,malign,To win the election they spread the scandal to [malign] the other candidate.,To win the election they spread the scandal to XXXXX the other candidate.,3599,NA,NA
447,malign,Politicians run negative ads in order to [malign] their opponents.,Politicians run negative ads in order to XXXXX their opponents.,3600,NA,NA
448,malign,Gossip and lies do more to harm and [malign] the press than censorship.,Gossip and lies do more to harm and XXXXX the press than censorship.,3601,NA,NA
449,malign,They said the witness was lazy and immoral in order to [malign] her.,They said the witness was lazy and immoral in order to XXXXX her.,NA,NA,NA
450,malign,"A good debater uses reason and logic, rather than trying to [malign] his rival.","A good debater uses reason and logic, rather than trying to XXXXX his rival.",3598,NA,NA
451,pilfer,She told her friend that she used to [pilfer] things when she was a kid.,She told her friend that she used to XXXXX things when she was a kid.,2561,NA,NA
452,pilfer,The man [pilfered] the paperwork from the office before he left.,The man XXXXX the paperwork from the office before he left.,2562,NA,NA
